match_id,actual_sum_fantasy_points,predicted_sum_fantasy_points,error,percentage_error
1298011,1176,720.5194183578642,-455.4805816421358,38.73134197637209
1298012,1147,861.1914369886083,-285.8085630113917,24.91792179698271
1298013,1162,721.4693403626442,-440.5306596373558,37.91141649202718
1298014,1195,776.2353251317314,-418.76467486826857,35.043069026633354
1298015,1007,825.1699183333064,-181.83008166669356,18.056611883484962
1298016,1091,785.4330848661348,-305.5669151338652,28.007966556724583
1298017,813,756.9445765040017,-56.0554234959983,6.894886038868179
1298018,1045,851.538997684577,-193.461002315423,18.513014575638564
1298019,1068,875.0497385577071,-192.9502614422929,18.066503880364504
1298020,1093,784.9706075119433,-308.0293924880567,28.182012121505647
1298021,1240,776.8224589800535,-463.1775410199465,37.35302750160859
1298022,993,792.9122191121982,-200.08778088780184,20.149826876918613
1298023,972,802.4311991959185,-169.56880080408155,17.445349876963125
1298024,818,834.9731733362822,16.97317333628223,2.0749600655601745
1298025,1222,890.665819018144,-331.334180981856,27.114090096714893
1298026,1060,682.0164998184649,-377.9835001815351,35.65882077184293
1298027,1249,814.3354383104399,-434.66456168956006,34.801005739756604
1298028,1282,791.694217486221,-490.30578251377904,38.245380851308816
1298029,1319,812.6873798911976,-506.31262010880243,38.386097051463416
1298030,1304,786.9993503915169,-517.0006496084831,39.64728908040514
1298031,1216,819.3877491388843,-396.61225086111574,32.6161390510786
1298032,1230,848.6966050685575,-381.30339493144254,31.000276010686385
1301329,1143,782.4357080577358,-360.56429194226416,31.545432365902375
1301330,1278,774.020625693237,-503.979374306763,39.43500581430071
1301337,848,847.949543590404,-0.050456409595994955,0.0059500483014145
1301338,1136,796.9463205682373,-339.0536794317627,29.846274597866433
1301339,1005,791.3945996549512,-213.6054003450488,21.25426869104963
1303310,990,772.7443501434392,-217.2556498565608,21.945015137026346
1303311,1319,787.6123656798704,-531.3876343201296,40.28715953905455
1307479,1184,700.3095090722228,-483.6904909277772,40.85223740944065
1308233,1009,612.4188071784511,-396.58119282154894,39.30437986338443
1308234,758,686.3394705284559,-71.66052947154412,9.453895708646982
1308235,1028,652.8384709238522,-375.16152907614776,36.494312166940446
1311737,1152,746.3064083609913,-405.6935916390087,35.21645760755284
1311738,872,788.557691775994,-83.44230822400596,9.56907204403738
1311739,1094,677.4241765399662,-416.5758234600338,38.07822883546927
1317153,595,724.2344038424341,129.23440384243406,21.720067872677994
1317154,971,765.5767854965706,-205.42321450342945,21.155840834544744
1317476,942,785.4197441495272,-156.58025585047278,16.62210783975295
1317477,610,868.8463718626672,258.8463718626672,42.43383145289626
1317478,888,769.2021166096964,-118.79788339030358,13.378140021430585
1317479,1087,835.1721828588468,-251.82781714115322,23.16723248768659
1317480,976,859.0860699812438,-116.91393001875622,11.978886272413547
1317481,1061,780.1944700971662,-280.80552990283377,26.466119689239754
1317489,1085,854.8386399530438,-230.16136004695625,21.213028575756336
1317490,1180,842.8024901870092,-337.1975098129908,28.57606015364329
1317491,1075,937.6769300573866,-137.32306994261342,12.774239064429155
1317900,1110,684.9836647658925,-425.0163352341075,38.289759931000674
1317901,1164,687.0764333387017,-476.9235666612983,40.97281500526618
1317902,843,767.4508292464886,-75.54917075351136,8.961941963643104
1317911,933,745.148089182401,-187.851910817599,20.13418122375123
1317912,1071,786.2247826409456,-284.7752173590544,26.5896561493048
1317913,1166,825.3481087947512,-340.65189120524883,29.215428062199727
1322032,831,749.3782737645994,-81.62172623540062,9.82210905359815
1322033,967,745.8139105567521,-221.18608944324785,22.873432207161102
1322034,1009,701.8219228628618,-307.1780771371382,30.44381339317524
1322035,696,656.4348423398834,-39.5651576601166,5.684649089097213
1322036,1179,691.6447939152179,-487.35520608478214,41.336319430431054
1322037,1076,719.5452797235508,-356.45472027644917,33.12776210747669
1322038,1100,786.9163691903758,-313.0836308096242,28.462148255420384
1322039,1082,747.724115674879,-334.27588432512096,30.894259179770884
1322041,1054,773.271623985113,-280.728376014887,26.63457077940104
1322278,1078,768.9415482165656,-309.0584517834344,28.6696151932685
1322279,123,785.9481109739274,662.9481109739274,538.9822040438435
1322280,730,740.8161765550014,10.816176555001448,1.481668021233075
1322341,662,505.3888608632518,-156.6111391367482,23.657271772922687
1322342,380,601.0205752145171,221.02057521451707,58.16330926697818
1322343,204,594.3618932535368,390.3618932535368,191.35386924192977
1322359,1054,699.3109342341128,-354.6890657658872,33.65171401953389
1322361,810,780.772586099517,-29.227413900483043,3.6083227037633385
1323292,985,724.7976018074838,-260.20239819251617,26.41648712614377
1323293,1105,643.5822227328358,-461.4177772671642,41.75726491105558
1323294,1012,661.7590854023397,-350.2409145976603,34.608786027436786
1325549,723,794.6206944991278,71.62069449912781,9.9060434991878
1325550,795,794.3679488221264,-0.6320511778735636,0.07950329281428473
1325551,1246,835.8472026339182,-410.1527973660818,32.91755998122647
1326338,1051,505.71613175131404,-545.283868248686,51.88238518065518
1326340,1066,399.80894081145897,-666.191059188541,62.49447084320272
1326341,799,533.6914331740688,-265.30856682593117,33.205077199741076
1326342,931,542.5917317454978,-388.4082682545022,41.71947027438262
1326343,1061,671.1265371675405,-389.8734628324595,36.7458494658303
1326344,910,592.168917224179,-317.83108277582096,34.92649261272758
1326346,1194,654.5912113888007,-539.4087886111993,45.17661546157448
1326347,1011,638.2428832040034,-372.7571167959966,36.87014013808077
1326348,767,524.0592322476039,-242.94076775239614,31.674154856896497
1326349,987,660.7409513991199,-326.2590486008801,33.05562802440527
1326350,935,649.6243755779036,-285.3756244220964,30.521457157443464
