player_id,player_name,batting_innings,bowling_innings,total_runs_scored,total_balls_faced,total_fours,total_sixes,total_catches,total_runouts,total_balls_bowled,total_dot_balls,total_wickets,total_LBWs/Bowled,total_runs_conceded,total_stumpings
b552a935,AC Thomas,56,130,531,911,57,2,31,4,6112,3781,200,59,4775,0
30e37810,Sunny Singh,5,0,43,31,6,1,1,0,0,0,0,0,0,0
ce4cc4d5,R Ninan,1,2,3,6,0,0,1,0,36,8,3,0,65,0
063b3673,DH Yagnik,21,0,214,191,27,3,17,6,0,0,0,0,0,6
c64c2443,J Syed Mohammad,10,15,175,171,17,4,4,3,258,69,16,2,348,0
0c432afb,P Parameswaran,2,8,1,3,0,0,0,0,159,64,9,1,226,0
943fd425,I Malhotra,1,1,7,4,1,0,0,0,6,0,0,0,23,0
d2340a43,Anand Rajan,0,8,0,0,0,0,3,2,162,57,10,2,206,0
bae11797,Y Gnaneswara Rao,1,1,19,18,3,0,2,0,6,3,0,0,7,0
29d72eb2,AA Chavan,3,13,12,11,2,0,3,0,255,100,8,3,339,0
a75a78eb,MR Swart,36,29,767,753,71,18,15,3,621,274,21,4,605,0
97b7c5c0,VAB Tewarie,1,0,4,22,0,0,0,0,0,0,0,0,0,0
12f6b3bd,N Kruger,1,0,5,20,0,0,0,0,0,0,0,0,0,0
59f509ed,G Goudie,4,13,54,58,4,3,7,0,362,169,19,3,338,0
5c5a8c1f,CKB Kulasekara,6,8,60,125,2,0,2,0,288,172,3,3,189,0
8f7a598f,RMS Eranga,38,54,233,545,31,0,8,2,4714,3211,83,23,2965,0
505371c8,Abdul Rehman,3,0,36,105,5,0,3,0,0,0,0,0,0,0
a4fdc1d5,RP Mepani,4,3,73,140,7,0,4,0,72,42,0,0,63,0
31e94380,MN Jesani,3,0,17,49,3,0,2,0,0,0,0,0,0,0
9b858e4d,RD Gudhka,4,4,16,67,0,0,0,0,285,202,3,0,157,0
ca73657e,Wasim Bari,1,2,0,9,0,0,1,0,88,61,1,0,66,0
4b7011dd,Shoaib Sarwar,1,4,0,2,0,0,1,0,275,195,10,6,146,0
581e18a8,SC Patel,3,0,48,127,6,1,0,0,0,0,0,0,0,0
02e831e0,AK Shukla,0,1,0,0,0,0,1,0,19,8,0,0,18,0
248b72c3,L Klazinga,12,20,90,131,5,3,6,0,825,499,22,8,676,0
2adb9943,J Davidson,1,6,10,8,0,1,0,0,217,138,7,1,176,0
57ac1d99,R van Schoor,33,4,727,1020,43,6,22,1,113,56,3,1,91,3
5208c0a1,DI Allan,12,8,85,228,7,0,3,0,158,84,2,0,146,0
88c4a8e8,I Opperman,5,6,130,262,10,1,1,0,238,167,7,4,125,0
a1000a26,HJW Gardiner,9,0,148,237,17,0,4,0,0,0,0,0,0,0
971c3f6d,FRJ Coleman,15,0,224,326,27,1,10,0,0,0,0,0,0,0
7429c452,I Wardlaw,12,16,26,51,2,0,2,0,819,453,25,10,783,0
77ea6ec3,B Palekar,2,0,8,7,2,0,1,0,0,0,0,0,0,0
e23a0a89,RP Varsani,2,1,58,109,5,0,2,0,19,12,0,0,16,0
