match_id,player_id,player_name,runs_scored,balls_faced,no_of_fours,no_of_sixes,no_of_catches,runouts,balls_bowled,dot_balls,wickets,LBWs/Bowled,runs_conceded,stumpings,out,date,venue,match_type,gender,team_name,fantasy_points,career_batsman_100s,career_batsman_50s,career_batsman_average_runs_per_match,career_batsman_strike_rate,career_batsman_total_runs,career_bowler_average,career_bowler_economy_rate,career_bowler_wickets,career_fielder_total_catches,career_fielder_total_runouts,recentform_batsman_100s,recentform_batsman_50s,recentform_average_runs_per_match,recentform_strike_rate,recentform_total_runs,recentform_bowler_average,recentform_bowler_economy_rate,recentform_bowler_wickets,recentform_fielder_total_catches,recentform_fielder_total_runouts
64022,b9a3d8c6,Inzamam-ul-Haq,31,70,4,0,0,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,Pakistan,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,e237b28c,Yousuf Youhana,54,75,8,0,0,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,Pakistan,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,390ff45b,Abdul Razzaq,23,45,3,1,0,0,114,85,0,0,57,0,out,2002-12-26,Durban,Test,male,Pakistan,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,267269e1,Faisal Iqbal,23,45,3,0,2,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,Pakistan,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,ad48eb56,G Kirsten,56,118,9,0,1,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,South Africa,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,72861603,GC Smith,29,66,5,0,3,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,South Africa,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,9333bc07,GR Viswanath,0,0,0,0,0,0,0,0,0,0,0,0,DNB,2002-12-26,Durban,Test,male,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,98ecf62a,HH Dippenaar,1,7,0,0,0,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,South Africa,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,e1d1b294,HH Gibbs,36,42,5,1,1,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,South Africa,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,c1cd91c3,IL Howell,0,0,0,0,0,0,0,0,0,0,0,0,DNB,2002-12-26,Durban,Test,male,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,86dc8f2e,JH Kallis,105,236,11,1,0,0,138,110,2,1,52,0,out,2002-12-26,Durban,Test,male,South Africa,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,c73bb037,Taufeeq Umar,78,180,11,0,1,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,Pakistan,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,61ca2dbb,M Hayward,10,18,2,0,0,0,142,94,7,2,119,0,out,2002-12-26,Durban,Test,male,South Africa,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,20a941bb,M Ntini,0,3,0,0,0,0,234,179,5,0,132,0,out,2002-12-26,Durban,Test,male,South Africa,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,f3cb53a1,MV Boucher,55,108,7,0,4,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,South Africa,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,68ddabdb,Mohammad Sami,11,18,0,1,0,0,186,142,3,2,128,0,not out,2002-12-26,Durban,Test,male,Pakistan,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,6a0537aa,N Boje,37,58,4,0,0,0,114,88,2,1,53,0,not out,2002-12-26,Durban,Test,male,South Africa,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,a830c083,ND McKenzie,24,41,4,0,3,0,0,0,0,0,0,0,out,2002-12-26,Durban,Test,male,South Africa,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64022,12453319,S Venkataraghavan,0,0,0,0,0,0,0,0,0,0,0,0,DNB,2002-12-26,Durban,Test,male,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
