match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1415148,03df7a25,DA Douthwaite,19,All-Rounder,Glamorgan,57.352958127218145
1415148,c995d726,CA Ingram,20,All-Rounder,Glamorgan,54.091096189783066
1415148,eafe8a94,BI Kellaway,100,Bowler,Glamorgan,52.58537967775071
1415148,d99cc23a,T van der Gugten,105,Bowler,Glamorgan,50.17097213024643
1415148,214f6461,GCH Hill,68,All-Rounder,Yorkshire,49.95915875961525
1415148,28217d89,ML Revis,30,All-Rounder,Yorkshire,48.104081167232216
1415148,9e707e02,KS Carlson,44,All-Rounder,Glamorgan,42.07520309639781
1415148,7e4c8ba3,SA Northeast,8,Batsman,Glamorgan,40.68054075813546
1415148,7d7233a9,AW Gorvin,119,Bowler,Glamorgan,38.59509560050759
1415148,443b47a6,HG Duke,-2,Wicket-Keeper,Yorkshire,28.296654955440964
1415149,4167f30b,IG Holland,23,All-Rounder,Leicestershire,58.56094667442756
1415149,b5781ac3,L Trevaskis,68,Bowler,Leicestershire,58.03108688517525
1415149,bfc60227,SG Budinger,8,Batsman,Leicestershire,57.46193776443277
1415149,dbb15645,DC Goodman,27,Bowler,Gloucestershire,48.36762192010003
1415149,ac3c3cab,TAR Scriven,87,All-Rounder,Leicestershire,45.46353417094368
1415149,0a12e736,TMJ Smith,89,Bowler,Gloucestershire,43.595044188786936
1415149,ba377b40,GL van Buuren,19,All-Rounder,Gloucestershire,43.27412981442152
1415149,9f812582,LPJ Kimber,41,All-Rounder,Leicestershire,42.45331650825923
1415149,ada15e88,PSP Handscomb,98,Wicket-Keeper,Leicestershire,39.25199630326215
1415149,c78a879c,RI Walker,25,Bowler,Leicestershire,36.695724526346424
1415149,478a63e7,C Campher,65,All-Rounder,Gloucestershire,35.918922800613835
1415150,27fc5808,HT Crocombe,49,Bowler,Sussex,55.206382461390405
1415150,bdadcca1,TJ Haines,21,All-Rounder,Sussex,54.23642835751642
1415150,04cd872b,JA Richards,33,Bowler,Essex,52.37861589244757
1415150,8f9c5014,AC Lenham,38,Bowler,Sussex,51.444606716562184
1415150,25a42048,T Westley,134,All-Rounder,Essex,50.83696625898441
1415150,39e2c0fd,BMJ Allison,68,Bowler,Essex,41.190965462521554
1415150,bf659c0f,AM Foreman,84,All-Rounder,Sussex,40.08590881726192
1415150,f8a63b6f,NRM Thain,52,All-Rounder,Essex,40.056236347989895
1415150,ed8faea2,TGR Clark,9,All-Rounder,Sussex,39.86879471638726
1415150,f05fe9b1,JA Simpson,95,Wicket-Keeper,Sussex,31.994257970106368
1415150,734344b3,RJ Das,20,Batsman,Essex,27.10846762547287
1415151,634749ad,TC Ali,11,Bowler,Warwickshire,59.28733328754166
1415151,a510bdd3,EG Barnard,62,All-Rounder,Warwickshire,55.330187826439264
1415151,92205bc7,MG Booth,38,Bowler,Warwickshire,49.45548070653638
1415151,353de846,FW McCann,23,All-Rounder,Nottinghamshire,46.12587948781303
1415151,c1f62b71,R Lord,87,Bowler,Nottinghamshire,44.370291555836225
1415151,e5218454,JB Lintott,116,Bowler,Warwickshire,41.159602629416206
1415151,d48c0f40,LA Patterson-White,103,All-Rounder,Nottinghamshire,39.691521790559435
1415151,c5f1d2a1,BT Slater,25,Batsman,Nottinghamshire,34.66372758732503
1415151,f54dbda7,WMH Rhodes,24,All-Rounder,Warwickshire,31.531877740809417
1415151,b8529e99,JPH Hayes,25,Bowler,Nottinghamshire,31.4160353025484
1415151,85dcb721,TJ Moores,42,Wicket-Keeper,Nottinghamshire,31.224717366141448
1415152,867a45a7,TAI Taylor,80,All-Rounder,Worcestershire,66.87871366325889
1415152,a510bdd3,EG Barnard,58,All-Rounder,Warwickshire,60.98988658306509
1415152,1d48795b,F Singh,25,Bowler,Worcestershire,58.870813204478786
1415152,d617bf90,TI Hinley,35,Bowler,Worcestershire,48.83815196683757
1415152,86781001,JE Home,30,Bowler,Worcestershire,48.330840960992354
1415152,0d61d8f0,JD Libby,142,All-Rounder,Worcestershire,45.1873996312567
1415152,92205bc7,MG Booth,25,Bowler,Warwickshire,45.00368224428135
1415152,e5218454,JB Lintott,77,Bowler,Warwickshire,43.09630891312591
1415152,e0ac7144,OJ Hannon-Dalby,33,Bowler,Warwickshire,39.54549713893438
1415152,7081848a,GH Roderick,27,Wicket-Keeper,Worcestershire,32.366361354917686
1415152,d6663a9a,EJ Pollock,80,Batsman,Worcestershire,24.31486692828461
1415153,4a461c24,LA Dawson,64,All-Rounder,Hampshire,65.37558521009817
1415153,ac3c3cab,TAR Scriven,89,All-Rounder,Leicestershire,51.942709252406154
1415153,b5781ac3,L Trevaskis,113,Bowler,Leicestershire,50.66647483852208
1415153,ada15e88,PSP Handscomb,98,Wicket-Keeper,Leicestershire,48.77734830648706
1415153,c78a879c,RI Walker,33,Bowler,Leicestershire,47.710379036696494
1415153,cdd875d9,JA Turner,116,Bowler,Hampshire,46.69354595719335
1415153,5f031dc9,DC Kelly,61,All-Rounder,Hampshire,43.91338638758988
1415153,a9da7784,KJ Abbott,30,Bowler,Hampshire,43.307515671717816
1415153,6c908ffc,CJC Wright,74,Bowler,Leicestershire,41.971930915561835
1415153,819ae1ad,FS Organ,13,All-Rounder,Hampshire,38.447297517180985
1415153,bfc60227,SG Budinger,24,Batsman,Leicestershire,33.53321046250022
1415154,b5781ac3,L Trevaskis,2,Bowler,Leicestershire,63.74039350095742
1415154,34b37279,BGF Green,107,Bowler,Somerset,57.41531847073565
1415154,ac3c3cab,TAR Scriven,70,All-Rounder,Leicestershire,51.52923470318416
1415154,4167f30b,IG Holland,51,All-Rounder,Leicestershire,48.588233978369736
1415154,f2e28b0c,GW Thomas,62,All-Rounder,Somerset,46.139004992367006
1415154,ed47cb25,LP Goldsworthy,151,All-Rounder,Somerset,45.34979058314323
1415154,d3868bd0,JH Davey,50,Bowler,Somerset,45.140181881379235
1415154,31b01074,Kasey Aldridge,58,All-Rounder,Somerset,44.40213301526455
1415154,3987e390,MJ Leach,25,Bowler,Somerset,43.50478456437184
1415154,ada15e88,PSP Handscomb,156,Wicket-Keeper,Leicestershire,37.957430825074056
1415154,29e95537,AM Rahane,-3,Batsman,Leicestershire,27.842321009953334
1415155,eafe8a94,BI Kellaway,75,Bowler,Glamorgan,55.79164086540256
1415155,d99cc23a,T van der Gugten,88,Bowler,Glamorgan,54.91472785095656
1415155,03df7a25,DA Douthwaite,147,All-Rounder,Glamorgan,54.86298871733712
1415155,c995d726,CA Ingram,60,All-Rounder,Glamorgan,51.22239217944833
1415155,9e707e02,KS Carlson,10,All-Rounder,Glamorgan,44.52648792408376
1415155,a510bdd3,EG Barnard,132,All-Rounder,Warwickshire,42.762280406586555
1415155,3581a798,RM Yates,38,All-Rounder,Warwickshire,41.39638359227751
1415155,e5218454,JB Lintott,27,Bowler,Warwickshire,39.24262961086527
1415155,7e4c8ba3,SA Northeast,15,Batsman,Glamorgan,39.16466403280316
1415155,92205bc7,MG Booth,72,Bowler,Warwickshire,36.058195465629304
1415155,715941c3,MGK Burgess,107,Wicket-Keeper,Warwickshire,28.551152071867357
1415156,c995d726,CA Ingram,20,All-Rounder,Glamorgan,63.81933547007533
1415156,d99cc23a,T van der Gugten,40,Bowler,Glamorgan,53.55748385405458
1415156,03df7a25,DA Douthwaite,26,All-Rounder,Glamorgan,47.35611666646159
1415156,34b37279,BGF Green,36,Bowler,Somerset,44.4576489766212
1415156,eafe8a94,BI Kellaway,52,Bowler,Glamorgan,43.949211128945585
1415156,d3868bd0,JH Davey,0,Bowler,Somerset,42.77790654063446
1415156,ed47cb25,LP Goldsworthy,13,All-Rounder,Somerset,41.58626909177635
1415156,31b01074,Kasey Aldridge,26,All-Rounder,Somerset,41.4640158800442
1415156,521595e7,JEK Rew,37,Wicket-Keeper,Somerset,39.78190206256512
1415156,9e707e02,KS Carlson,1,All-Rounder,Glamorgan,34.47755947543524
1415156,7e4c8ba3,SA Northeast,93,Batsman,Glamorgan,30.998660969041403
1426549,b681e71e,GJ Maxwell,9,All-Rounder,Australia,76.73720279144987
1426549,8596fe80,Mohammad Hasnain,33,Bowler,Pakistan,54.84151599913588
1426549,45a7e761,Shaheen Shah Afridi,94,Bowler,Pakistan,53.19695337832151
1426549,ded9240e,PJ Cummins,90,Bowler,Australia,49.45665659762188
1426549,24bb1c2f,Haris Rauf,75,Bowler,Pakistan,49.10260445381997
1426549,1a2676c5,SA Abbott,41,Bowler,Australia,46.47932891166126
1426549,14f96089,A Zampa,66,Bowler,Australia,44.067929370193696
1426549,8a75e999,Babar Azam,41,Batsman,Pakistan,41.702265430836874
1426549,a90e53ec,MW Short,18,All-Rounder,Australia,41.511141897501986
