match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1415085,d99cc23a,T van der Gugten,41,Bowler,Glamorgan,45.84914724137587
1415085,72898514,WT Root,35,Batsman,Glamorgan,30.073925854450252
1415085,97da28bd,WT Smale,30,Batsman,Glamorgan,20.348724027147803
1415086,214f6461,GCH Hill,160,All-Rounder,Yorkshire,32.97282252843499
1415086,c15fb753,W Luxton,113,Batsman,Yorkshire,14.33146982069995
1415086,5899dceb,CT Steel,102,All-Rounder,Surrey,52.79077615574407
1415086,28217d89,ML Revis,84,All-Rounder,Yorkshire,45.88793052596632
1415086,2413a688,DJ Leech,79,Bowler,Yorkshire,30.372754139102177
1415086,3385b875,J Blake,61,Wicket-Keeper,Surrey,23.77788052036329
1415086,5ccdb14f,C McKerr,58,Bowler,Surrey,50.29236416989634
1415086,42a5c1c7,JH Wharton,52,Batsman,Yorkshire,17.90043553031638
1415086,57a76baa,MP Dunn,49,Bowler,Surrey,42.61625507975166
1415086,fd770945,BT Foakes,47,Wicket-Keeper,Surrey,26.621992882959944
1415086,97905e64,RS Patel,45,All-Rounder,Surrey,48.38318625516903
1415087,8af86756,BC Brown,183,Wicket-Keeper,Hampshire,38.41657016080028
1415087,52912da9,EV Jack,139,Bowler,Hampshire,63.87106743738353
1415087,0207ff32,TJ Prest,108,All-Rounder,Hampshire,48.038034393725745
1415087,819ae1ad,FS Organ,105,All-Rounder,Hampshire,44.969402866294885
1415087,ab01e323,SA Zaib,102,All-Rounder,Northamptonshire,42.50337517405016
1415087,5a74e559,CJ White,85,Bowler,Northamptonshire,29.10177599073925
1415087,aa710a58,EN Gay,71,Batsman,Northamptonshire,18.488025680666667
1415087,693af62a,AH Miller,61,All-Rounder,Northamptonshire,17.264081201639385
1415087,3f61a062,BTJ Wheal,58,Bowler,Hampshire,59.2387311731613
1415087,8b3e9c7c,PP Shaw,57,Batsman,Northamptonshire,39.1394062853551
1415087,a6c17509,TE Albert,56,Batsman,Hampshire,20.405914331299183
1415088,7a32c1c1,ARI Umeed,151,Batsman,Somerset,50.226816390919346
1415088,ed47cb25,LP Goldsworthy,130,All-Rounder,Somerset,60.015055573482506
1415088,a77472dc,G Stewart,99,Bowler,Kent,39.309294557508984
1415088,521595e7,JEK Rew,93,Wicket-Keeper,Somerset,26.235895661858116
1415088,31b01074,Kasey Aldridge,84,All-Rounder,Somerset,55.88010469216142
1415088,88211932,ARJ Ogborne,79,Bowler,Somerset,61.35452956626992
1415088,00cada13,JDM Evison,77,All-Rounder,Kent,45.13947585900093
1415088,098229a5,CH Stobo,62,All-Rounder,Kent,1.047496500387494
1415088,6e0a2209,B Swanepoel,57,Bowler,Kent,1.047496500387494
1415088,eec81780,Hamidullah Qadri,57,Bowler,Kent,51.18747839332822
1415088,93cad673,NN Gilchrist,45,Bowler,Kent,35.41743917145631
1415089,a510bdd3,EG Barnard,117,All-Rounder,Warwickshire,71.70870251450941
1415089,f54dbda7,WMH Rhodes,97,All-Rounder,Warwickshire,56.92942551935302
1415089,5fed6272,CN Miles,87,Bowler,Warwickshire,49.196785448541384
1415089,6c908ffc,CJC Wright,67,Bowler,Leicestershire,37.3593477123236
1415089,1917d713,Hamza Shaikh,42,Batsman,Warwickshire,12.183157191245613
1415089,e0ac7144,OJ Hannon-Dalby,25,Bowler,Warwickshire,46.253666827647635
1415089,e5218454,JB Lintott,25,Bowler,Warwickshire,40.92627017460778
1415089,ed12fcd7,BWM Mike,24,Bowler,Leicestershire,51.079834668732225
1415089,bfc60227,SG Budinger,21,Batsman,Leicestershire,25.61192969526806
1415089,324a6ee1,OB Cox,17,Wicket-Keeper,Leicestershire,22.318083864829397
1415089,95a15317,CG Benjamin,16,Batsman,Warwickshire,13.80665695198155
1415090,c5f1d2a1,BT Slater,137,Batsman,Nottinghamshire,14.65961838434842
1415090,fe0c5457,H Hameed,135,Batsman,Nottinghamshire,14.784518790423853
1415090,932d3cc9,FJ Hudson-Prentice,109,All-Rounder,Sussex,45.976667208969154
1415090,70c39d0e,THS Pettman,95,Bowler,Nottinghamshire,38.92478406704405
1415090,e423d162,LJ Fletcher,79,Bowler,Nottinghamshire,36.61439658310783
1415090,d48c0f40,LA Patterson-White,50,All-Rounder,Nottinghamshire,51.4687557883187
1415090,27fc5808,HT Crocombe,35,Bowler,Sussex,39.59283564847476
1415090,a5735bd3,A Karvelas,33,Bowler,Sussex,33.12624768466121
1415090,b3544c5d,BA Hutton,25,Bowler,Nottinghamshire,50.5813917734918
1415090,85dcb721,TJ Moores,24,Wicket-Keeper,Nottinghamshire,26.81116705679076
1415090,26db69e6,OJ Carter,24,Wicket-Keeper,Sussex,25.255276603793668
1415091,0a7c6649,HRC Came,159,Batsman,Derbyshire,17.04885003035738
1415091,9789e56e,LM Reece,117,All-Rounder,Derbyshire,59.30986937425546
1415091,7cb2d9d2,DM Dupavillon,79,Bowler,Derbyshire,37.95450822390107
1415091,bdc0670a,LBK Hollman,75,All-Rounder,Middlesex,38.91783895874672
